
Parametro	Estimación	Error_estandar	T_0	P(|T_202|>|T_0|)
(Intercept)	35.8242551	1.2250562	29.242949	0.0000000
t	0.1319807	0.0174478	7.564309	0.0000000
I(t^2)	0.0007051	0.0000779	9.055350	0.0000000
I1	-3.1817818	1.3273503	-2.397093	0.0174368
I2	5.3069465	1.3272009	3.998601	0.0000893
I3	12.0220423	1.3270660	9.059114	0.0000000
I4	7.2690612	1.3269454	5.478041	0.0000001
I5	12.1146698	1.3268389	9.130475	0.0000000
I6	9.8255350	1.3267465	7.405736	0.0000000
I7	8.4294343	1.3266681	6.353838	0.0000000
I8	9.0930346	1.3266037	6.854372	0.0000000
I9	12.5163357	1.3265533	9.435230	0.0000000
I10	10.5493377	1.3265171	7.952659	0.0000000
I11	8.9475962	1.3264952	6.745291	0.0000000
