
Parametro	Estimación	Error_Estandar	T_0 	P(|T_202|>|T_0|)
(Intercept)	35.1122117	1.4518673	24.1841735	0.0000000
t	0.1689800	0.0440540	3.8357445	0.0001675
I(t^2)	0.0002800	0.0004712	0.5943651	0.5529364
I(t^3)	0.0000013	0.0000014	0.9147258	0.3614316
I1	-3.1146344	1.3299145	-2.3419809	0.0201603
I2	5.3679308	1.3294103	4.0378283	0.0000767
I3	12.0768988	1.3289564	9.0875055	0.0000000
I4	7.3178173	1.3285516	5.5081165	0.0000001
I5	12.1573451	1.3281951	9.1532824	0.0000000
I6	9.8621412	1.3278862	7.4269474	0.0000000
I7	8.4599754	1.3276245	6.3722651	0.0000000
I8	9.1175066	1.3274098	6.8686450	0.0000000
I9	12.5347270	1.3272421	9.4441906	0.0000000
I10	10.5616286	1.3271216	7.9582979	0.0000000
I11	8.9537593	1.3270487	6.7471217	0.0000000
